State,District,Abbv,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,Dem_races,GOP_races,All_minus_Dem,All_minus_GOP,FMargin,Dem_perc,GOP_perc,Other_perc,DemMargin_perc,2016ClintonMargin_perc,Swing_vs_2016_Prez_perc,2016 Total Votes Cast,RawVotes_vs_2016_perc
California,CA-6,CA,6,D+21,Doris Matsui,D,201939,0,0,201939,TRUE,FALSE,-201939,201939,6058,1.0000,0.0000,0.0000,1.0000,0.4400,N/A,248121.0000,0.8139
California,CA-27,CA,27,D+16,Judy Chu,D,202636,0,0,202636,TRUE,FALSE,-202636,202636,6079,1.0000,0.0000,0.0000,1.0000,0.3760,N/A,264466.0000,0.7662
California,CA-44,CA,44,D+35,Nanette Barragan,D,143322,0,0,143322,TRUE,FALSE,-143322,143322,4300,1.0000,0.0000,0.0000,1.0000,0.7080,N/A,197802.0000,0.7246
Florida,FL-10,FL,10,D+11,Val Demings,D,0,0,0,0,FALSE,FALSE,0,0,0,1.0000,0.0000,0.0000,1.0000,0.2690,N/A,315611.0000,0.0000
Florida,FL-14,FL,14,D+7,Kathy Castor,D,0,0,0,0,FALSE,FALSE,0,0,0,1.0000,0.0000,0.0000,1.0000,0.1820,N/A,330427.0000,0.0000
Florida,FL-20,FL,20,D+31,Alcee Hastings,D,202659,0,165,202824,TRUE,FALSE,-202494,202824,6085,1.0000,0.0000,0.0000,1.0000,0.6210,N/A,288812.0000,0.7023
Florida,FL-21,FL,21,D+9,Lois Frankel,D,0,0,0,0,FALSE,FALSE,0,0,0,1.0000,0.0000,0.0000,1.0000,0.1950,N/A,351663.0000,0.0000
Florida,FL-24,FL,24,D+34,Frederica Wilson,D,0,0,0,0,FALSE,FALSE,0,0,0,1.0000,0.0000,0.0000,1.0000,0.6720,N/A,266851.0000,0.0000
Georgia,GA-5,GA,5,D+34,John Lewis,D,275406,0,0,275406,TRUE,FALSE,-275406,275406,8262,1.0000,0.0000,0.0000,1.0000,0.7310,N/A,305755.0000,0.9007
New York,NY-5,NY,5,D+37,Gregory Meeks,D,160500,0,0,160500,TRUE,FALSE,-160500,160500,4815,1.0000,0.0000,0.0000,1.0000,0.7280,N/A,247766.0000,0.6478
New York,NY-16,NY,16,D+24,Eliot Engel,D,182044,0,0,182044,TRUE,FALSE,-182044,182044,5461,1.0000,0.0000,0.0000,1.0000,0.5220,N/A,285395.0000,0.6379
Pennsylvania,PA-18,PA,18,D+13,Mike Doyle,D,231472,0,0,231472,TRUE,FALSE,-231472,231472,6944,1.0000,0.0000,0.0000,1.0000,0.2680,N/A,361913.0000,0.6396
Washington,WA-9,WA,9,D+21,Adam Smith,D,240567,0,0,240567,TRUE,FALSE,-240567,240567,7217,1.0000,0.0000,0.0000,1.0000,0.4710,N/A,291632.0000,0.8249
Wisconsin,WI-2,WI,2,D+18,Mark Pocan,D,309116,0,38,309154,TRUE,FALSE,-309078,309154,9275,0.9999,0.0000,0.0001,0.9999,0.3630,N/A,418192.0000,0.7393
Massachusetts,MA-8,MA,8,D+10,Stephen Lynch,D,259159,0,4148,263307,TRUE,FALSE,-255011,263307,7899,0.9842,0.0000,0.0158,0.9842,0.2560,N/A,389135.0000,0.6766
Massachusetts,MA-7,MA,7,D+34,Ayanna Pressley,D,216559,0,3852,220411,TRUE,FALSE,-212707,220411,6612,0.9825,0.0000,0.0175,0.9825,0.7120,N/A,306116.0000,0.7200
Alabama,AL-7,AL,7,D+20,Terri Sewell,D,185010,0,4153,189163,TRUE,FALSE,-180857,189163,5675,0.9780,0.0000,0.0220,0.9780,0.4120,N/A,294433.0000,0.6425
Massachusetts,MA-4,MA,4,D+9,Joe Kennedy,D,245289,0,5727,251016,TRUE,FALSE,-239562,251016,7530,0.9772,0.0000,0.0228,0.9772,0.2370,N/A,388652.0000,0.6459
Massachusetts,MA-1,MA,1,D+12,Richard Neal,D,211790,0,5110,216900,TRUE,FALSE,-206680,216900,6507,0.9764,0.0000,0.0236,0.9764,0.2030,N/A,344412.0000,0.6298
New York,NY-15,NY,15,D+44,Jose E. Serrano,D,124469,5205,0,129674,TRUE,FALSE,-119264,119264,3890,0.9599,0.0401,0.0000,0.9197,0.8860,0.0337,191894.0000,0.6758
New York,NY-13,NY,13,D+43,Adriano Espaillat,D,180035,10268,0,190303,TRUE,FALSE,-169767,169767,5709,0.9460,0.0540,0.0000,0.8921,0.8640,0.0281,253675.0000,0.7502
New York,NY-8,NY,8,D+36,Hakeem Jeffries,D,180376,0,11028,191404,TRUE,FALSE,-169348,191404,5742,0.9424,0.0000,0.0576,0.9424,0.7080,N/A,256102.0000,0.7474
Pennsylvania,PA-3,PA,3,D+41,Dwight Evans,D,287610,20387,0,307997,TRUE,FALSE,-267223,267223,9240,0.9338,0.0662,0.0000,0.8676,0.8390,0.0286,373594.0000,0.8244
New York,NY-7,NY,7,D+38,Nydia Velazquez,D,146687,0,10410,157097,TRUE,FALSE,-136277,157097,4713,0.9337,0.0000,0.0663,0.9337,0.7610,N/A,205733.0000,0.7636
Virginia,VA-3,VA,3,D+16,Bobby Scott,D,198615,0,19107,217722,TRUE,FALSE,-179508,217722,6532,0.9122,0.0000,0.0878,0.9122,0.3150,N/A,325478.0000,0.6689
Texas,TX-30,TX,30,D+29,Eddie Bernice Johnson,D,166784,0,16390,183174,TRUE,FALSE,-150394,183174,5495,0.9105,0.0000,0.0895,0.9105,0.6080,N/A,220711.0000,0.8299
New York,NY-6,NY,6,D+16,Grace Meng,D,111646,0,11209,122855,TRUE,FALSE,-100437,122855,3686,0.9088,0.0000,0.0912,0.9088,0.3280,N/A,208665.0000,0.5888
New York,NY-9,NY,9,D+34,Yvette Clarke,D,181455,20901,779,203135,TRUE,FALSE,-159775,161333,6094,0.8933,0.1029,0.0038,0.7904,0.6860,0.1044,255357.0000,0.7955
California,CA-37,CA,37,D+37,Karen Bass,D,210555,25823,0,236378,TRUE,FALSE,-184732,184732,7091,0.8908,0.1092,0.0000,0.7815,0.7610,0.0205,276134.0000,0.8560
Texas,TX-9,TX,9,D+29,Al Green,D,136256,0,16745,153001,TRUE,FALSE,-119511,153001,4590,0.8906,0.0000,0.1094,0.8906,0.6120,N/A,191513.0000,0.7989
California,CA-13,CA,13,D+40,Barbara Lee,D,260580,0,34257,294837,TRUE,FALSE,-226323,294837,8845,0.8838,0.0000,0.1162,0.8838,0.7930,N/A,339391.0000,0.8687
New York,NY-17,NY,17,D+7,Nita Lowey,D,170168,0,23150,193318,TRUE,FALSE,-147018,193318,5800,0.8802,0.0000,0.1198,0.8802,0.2000,N/A,321208.0000,0.6018
Illinois,IL-7,IL,7,D+38,Danny Davis,D,215746,30497,0,246243,TRUE,FALSE,-185249,185249,7387,0.8762,0.1238,0.0000,0.7523,0.7730,-0.0207,313933.0000,0.7844
New Jersey,NJ-10,NJ,10,D+36,Donald Payne Jr.,D,175253,20191,4715,200159,TRUE,FALSE,-150347,159777,6005,0.8756,0.1009,0.0236,0.7747,0.7240,0.0507,274361.0000,0.7295
California,CA-12,CA,12,D+37,Nancy Pelosi,D,275292,41780,0,317072,TRUE,FALSE,-233512,233512,9512,0.8682,0.1318,0.0000,0.7365,0.7660,-0.0295,362965.0000,0.8736
Illinois,IL-4,IL,4,D+33,Chuy Garcia,D,143895,22294,0,166189,TRUE,FALSE,-121601,121601,4986,0.8659,0.1341,0.0000,0.7317,0.6830,0.0487,211143.0000,0.7871
New York,NY-12,NY,12,D+31,Carolyn Maloney,D,217430,30446,3726,251602,TRUE,FALSE,-183258,190710,7548,0.8642,0.1210,0.0148,0.7432,0.6900,0.0532,310302.0000,0.8108
Arizona,AZ-7,AZ,7,D+23,Ruben Gallego,D,113044,301,18706,132051,TRUE,FALSE,-94037,131449,3962,0.8561,0.0023,0.1417,0.8538,0.4830,N/A,167183.0000,0.7899
