State,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Alabama,1,R+15,Bradley Byrne,R,0,208083,7810,0.0%,96.4%,3.6%,96.4%,"208,083",x,Trump
Alabama,2,R+17,Martha Roby,R,112089,134886,29609,40.5%,48.8%,10.7%,8.2%,"22,797",x,Trump
Alabama,3,R+16,Mike Rogers,R,94549,192164,391,32.9%,66.9%,0.1%,34.0%,"97,615",x,Trump
Alabama,4,R+28,Robert Aderholt,R,0,235925,3519,0.0%,98.5%,1.5%,98.5%,"235,925",x,Trump
Alabama,5,R+17,Mo Brooks,R,102234,205647,445,33.2%,66.7%,0.1%,33.5%,"103,413",x,Trump
Alabama,6,R+28,Gary Palmer,R,83709,245313,284,25.4%,74.5%,0.1%,49.1%,"161,604",x,Trump
Alabama,7,D+20,Terri Sewell,D,229330,0,3698,98.4%,0.0%,1.6%,-98.4%,"-229,330",x,Clinton
Alaska,1,R+12,Don Young,R,111019,155088,42091,36.0%,50.3%,13.7%,14.3%,"44,069",x,Trump
Arizona,1,R+4,Tom O'Halleran,D,142219,121745,16746,50.7%,43.4%,6.0%,-7.3%,"-20,474",x,Trump
Arizona,2,R+3,Martha McSally,R,135873,179806,0,43.0%,57.0%,0.0%,13.9%,"43,933",x,Clinton
Arizona,3,D+8,Raul Grijalva,D,148973,0,20162,88.1%,0.0%,11.9%,-88.1%,"-148,973",x,Clinton
Arizona,4,R+20,Paul Gosar,R,81296,203487,0,28.5%,71.5%,0.0%,42.9%,"122,191",x,Trump
Arizona,5,R+17,Andy Biggs,R,114940,205184,0,35.9%,64.1%,0.0%,28.2%,"90,244",x,Trump
Arizona,6,R+12,David Schweikert,R,122866,201578,0,37.9%,62.1%,0.0%,24.3%,"78,712",x,Trump
Arizona,7,D+16,Ruben Gallego,D,119465,39286,60,75.2%,24.7%,0.0%,-50.5%,"-80,179",x,Clinton
Arizona,8,R+15,Trent Franks,R,0,204942,94029,0.0%,68.5%,31.5%,68.5%,"204,942",x,Trump
Arizona,9,R+1,Kyrsten Sinema,D,169055,108350,102,60.9%,39.0%,0.0%,-21.9%,"-60,705",x,Clinton
Arkansas,1,R+14,Rick Crawford,R,0,183866,57181,0.0%,76.3%,23.7%,76.3%,"183,866",x,Trump
Arkansas,2,R+8,French Hill,R,111347,176472,14645,36.8%,58.3%,4.8%,21.5%,"65,125",x,Trump
Arkansas,3,R+19,Steve Womack,R,0,217192,63715,0.0%,77.3%,22.7%,77.3%,"217,192",x,Trump
Arkansas,4,R+15,Bruce Westerman,R,0,182885,61274,0.0%,74.9%,25.1%,74.9%,"182,885",x,Trump
California,1,R+10,Doug La Malfa,R,128588,185448,0,40.9%,59.1%,0.0%,18.1%,"56,860",x,Trump
California,2,D+20,Jared Huffman,D,254194,76572,0,76.9%,23.1%,0.0%,-53.7%,"-177,622",x,Clinton
California,3,D+3,John Garamendi,D,152513,104453,0,59.4%,40.6%,0.0%,-18.7%,"-48,060",x,Clinton
California,4,R+10,Tom McClintock,R,130845,220133,0,37.3%,62.7%,0.0%,25.4%,"89,288",x,Trump
California,5,D+19,Mike Thompson,D,224526,67565,0,76.9%,23.1%,0.0%,-53.7%,"-156,961",x,Clinton
California,6,D+18,Doris Matsui,D,177565,57848,0,75.4%,24.6%,0.0%,-50.9%,"-119,717",x,Clinton
California,7,EVEN,Ami Bera,D,152133,145168,0,51.2%,48.8%,0.0%,-2.3%,"-6,965",x,Clinton
California,8,R+10,Paul Cook,R,83035,136972,0,37.7%,62.3%,0.0%,24.5%,"53,937",x,Trump
California,9,D+6,Jerry McNerney,D,133163,98992,0,57.4%,42.6%,0.0%,-14.7%,"-34,171",x,Clinton
California,10,R+1,Jeff Denham,R,116470,124671,0,48.3%,51.7%,0.0%,3.4%,"8,201",x,Clinton
California,11,D+17,Mark DeSaulnier,D,214868,83341,0,72.1%,27.9%,0.0%,-44.1%,"-131,527",x,Clinton
California,12,D+34,Nancy Pelosi,D,274035,0,64810,80.9%,0.0%,19.1%,-80.9%,"-274,035",x,Clinton
California,13,D+37,Barbara Lee,D,293117,29754,0,90.8%,9.2%,0.0%,-81.6%,"-263,363",x,Clinton
California,14,D+23,Jackie Speier,D,231630,54817,0,80.9%,19.1%,0.0%,-61.7%,"-176,813",x,Clinton
California,15,D+16,Eric Swalwell,D,198578,70619,0,73.8%,26.2%,0.0%,-47.5%,"-127,959",x,Clinton
California,16,D+7,Jim Costa,D,97473,70483,0,58.0%,42.0%,0.0%,-16.1%,"-26,990",x,Clinton
California,17,D+20,Ro Khanna,D,233192,0,0,100.0%,0.0%,0.0%,-100.0%,"-233,192",x,Clinton
California,18,D+18,Anna Eshoo,D,230460,93470,0,71.1%,28.9%,0.0%,-42.3%,"-136,990",x,Clinton
California,19,D+19,Zoe Lofgren,D,181802,64061,0,73.9%,26.1%,0.0%,-47.9%,"-117,741",x,Clinton
California,20,D+21,Jimmy Panetta,D,180980,74811,0,70.8%,29.2%,0.0%,-41.5%,"-106,169",x,Clinton
California,21,D+2,David Valadao,R,57282,75126,0,43.3%,56.7%,0.0%,13.5%,"17,844",x,Clinton
California,22,R+10,Devin Nunes,R,76211,158755,0,32.4%,67.6%,0.0%,35.1%,"82,544",x,Trump
California,23,R+16,Kevin McCarthy,R,74468,167116,0,30.8%,69.2%,0.0%,38.4%,"92,648",x,Trump
California,24,D+4,Salud Carbajal,D,166034,144780,0,53.4%,46.6%,0.0%,-6.8%,"-21,254",x,Clinton
California,25,R+3,Steve Knight,R,122406,138755,0,46.9%,53.1%,0.0%,6.3%,"16,349",x,Clinton
California,26,D+4,Julia Brownley,D,169248,111059,0,60.4%,39.6%,0.0%,-20.8%,"-58,189",x,Clinton
California,27,D+11,Judy Chu,D,168977,81655,0,67.4%,32.6%,0.0%,-34.8%,"-87,322",x,Clinton
California,28,D+20,Adam Schiff,D,210883,59526,0,78.0%,22.0%,0.0%,-56.0%,"-151,357",x,Clinton
California,29,D+25,Tony Cardenas,D,171824,0,0,100.0%,0.0%,0.0%,-100.0%,"-171,824",x,Clinton
California,30,D+14,Brad Sherman,D,205279,77325,0,72.6%,27.4%,0.0%,-45.3%,"-127,954",x,Clinton
California,31,D+5,Pete Aguilar,D,121070,94866,0,56.1%,43.9%,0.0%,-12.1%,"-26,204",x,Clinton
California,32,D+12,Grace Napolitano,D,186646,0,0,100.0%,0.0%,0.0%,-100.0%,"-186,646",x,Clinton
California,33,D+11,Ted Lieu,D,219397,110822,0,66.4%,33.6%,0.0%,-32.9%,"-108,575",x,Clinton
California,34,D+30,Xavier Becerra,D,159156,0,0,100.0%,0.0%,0.0%,-100.0%,"-159,156",x,Clinton
California,35,D+15,Norma Torres,D,124044,47309,0,72.4%,27.6%,0.0%,-44.8%,"-76,735",x,Clinton
California,36,R+1,Raul Ruiz,D,144348,88269,0,62.1%,37.9%,0.0%,-24.1%,"-56,079",x,Clinton
California,37,D+34,Karen Bass,D,237272,0,0,100.0%,0.0%,0.0%,-100.0%,"-237,272",x,Clinton
California,38,D+12,Linda Sanchez,D,163590,68524,0,70.5%,29.5%,0.0%,-41.0%,"-95,066",x,Clinton
California,39,R+5,Ed Royce,R,112679,150777,0,42.8%,57.2%,0.0%,14.5%,"38,098",x,Clinton
California,40,D+29,Lucille Roybal-Allard,D,106554,0,42743,71.4%,0.0%,28.6%,-71.4%,"-106,554",x,Clinton
California,41,D+9,Mark Takano,D,128164,69159,0,65.0%,35.0%,0.0%,-29.9%,"-59,005",x,Clinton
California,42,R+10,Ken Calvert,R,104689,149547,0,41.2%,58.8%,0.0%,17.6%,"44,858",x,Trump
California,43,D+26,Maxine Waters,D,167017,52499,0,76.1%,23.9%,0.0%,-52.2%,"-114,518",x,Clinton
California,44,D+32,Nanette Barragan,D,178413,0,0,100.0%,0.0%,0.0%,-100.0%,"-178,413",x,Clinton
California,45,R+7,Mimi Walters,R,129231,182618,0,41.4%,58.6%,0.0%,17.1%,"53,387",x,Clinton
California,46,D+9,Lou Correa,D,164593,0,0,100.0%,0.0%,0.0%,-100.0%,"-164,593",x,Clinton
California,47,D+8,Alan Lowenthal,D,154759,88109,0,63.7%,36.3%,0.0%,-27.4%,"-66,650",x,Clinton
California,48,R+7,Dana Rohrabacher,R,127715,178701,0,41.7%,58.3%,0.0%,16.6%,"50,986",x,Clinton
California,49,R+4,Darrell Issa,R,154267,155888,0,49.7%,50.3%,0.0%,0.5%,"1,621",x,Clinton
California,50,R+14,Duncan D. Hunter,R,103646,179937,0,36.5%,63.5%,0.0%,26.9%,"76,291",x,Trump
California,51,D+16,Juan Vargas,D,145162,54362,0,72.8%,27.2%,0.0%,-45.5%,"-90,800",x,Clinton
California,52,D+2,Scott Peters,D,181253,139403,0,56.5%,43.5%,0.0%,-13.1%,"-41,850",x,Clinton
California,53,D+10,Susan Davis,D,198988,97968,0,67.0%,33.0%,0.0%,-34.0%,"-101,020",x,Clinton
Colorado,1,D+18,Diana DeGette,D,257254,105030,16752,67.9%,27.7%,4.4%,-40.2%,"-152,224",x,Clinton
Colorado,2,D+8,Jared Polis,D,260175,170001,27136,56.9%,37.2%,5.9%,-19.7%,"-90,174",x,Clinton
Colorado,3,R+5,Scott Tipton,R,150914,204220,18903,40.3%,54.6%,5.1%,14.3%,"53,306",x,Trump
Colorado,4,R+11,Ken Buck,R,123642,248155,18752,31.7%,63.5%,4.8%,31.9%,"124,513",x,Trump
Colorado,5,R+13,Doug Lamborn,R,111676,225445,24872,30.9%,62.3%,6.9%,31.4%,"113,769",x,Trump
Colorado,6,D+1,Mike Coffman,R,160372,191626,24419,42.6%,50.9%,6.5%,8.3%,"31,254",x,Clinton
Colorado,7,D+5,Ed Perlmutter,D,199758,144066,18186,55.2%,39.8%,5.0%,-15.4%,"-55,692",x,Clinton
Connecticut,1,D+13,John Larson,D,200686,105674,6565,64.1%,33.8%,2.1%,-30.4%,"-95,012",x,Clinton
Connecticut,2,D+5,Joe Courtney,D,208818,111149,10290,63.2%,33.7%,3.1%,-29.6%,"-97,669",x,Clinton
Connecticut,3,D+11,Rosa DeLauro,D,213572,95786,21,69.0%,31.0%,0.0%,-38.1%,"-117,786",x,Clinton
Connecticut,4,D+5,Jim Himes,D,187811,125724,5,59.9%,40.1%,0.0%,-19.8%,"-62,087",x,Clinton
Connecticut,5,D+3,Elizabeth Etsy,D,179252,129801,29,58.0%,42.0%,0.0%,-16.0%,"-49,451",x,Clinton
Delaware,1,D+8,Lisa Blunt Rochester,D,233554,172301,14762,55.5%,41.0%,3.5%,-14.6%,"-61,253",x,Clinton
Florida,1,R+21,Matt Gaetz,R,114079,255107,0,30.9%,69.1%,0.0%,38.2%,"141,028",x,Trump
Florida,2,R+18,Neal Dunn,R,102801,231163,9398,29.9%,67.3%,2.7%,37.4%,"128,362",x,Trump
Florida,3,R+9,Ted Yoho,R,136338,193843,12519,39.8%,56.6%,3.7%,16.8%,"57,505",x,Trump
Florida,4,R+19,John Rutherford,R,113088,287509,9065,27.6%,70.2%,2.2%,42.6%,"174,421",x,Trump
Florida,5,D+12,Al Lawson,D,194549,108325,0,64.2%,35.8%,0.0%,-28.5%,"-86,224",x,Clinton
Florida,6,R+4,Ron DeSantis,R,151051,213519,0,41.4%,58.6%,0.0%,17.1%,"62,468",x,Trump
Florida,7,R+2,Stephanie Murphy,D,182039,171583,33,51.5%,48.5%,0.0%,-3.0%,"-10,456",x,Clinton
Florida,8,R+9,Bill Posey,R,127127,246483,16951,32.5%,63.1%,4.3%,30.6%,"119,356",x,Trump
Florida,9,D+3,Darren Soto,D,195311,144450,0,57.5%,42.5%,0.0%,-15.0%,"-50,861",x,Clinton
Florida,10,D+9,Val Demings,D,198491,107498,0,64.9%,35.1%,0.0%,-29.7%,"-90,993",x,Clinton
Florida,11,R+11,Dan Webster,R,124713,258016,11990,31.6%,65.4%,3.0%,33.8%,"133,303",x,Trump
Florida,12,R+6,Gus Bilirakis,R,116110,253559,0,31.4%,68.6%,0.0%,37.2%,"137,449",x,Trump
Florida,13,D+3,Charlie Crist,D,184693,171149,0,51.9%,48.1%,0.0%,-3.8%,"-13,544",x,Clinton
Florida,14,D+6,Kathy Castor,D,195789,121088,0,61.8%,38.2%,0.0%,-23.6%,"-74,701",x,Clinton
Florida,15,R+6,Dennis Ross,R,135475,182999,0,42.5%,57.5%,0.0%,14.9%,"47,524",x,Trump
Florida,16,R+6,Vern Buchanan,R,155262,230654,0,40.2%,59.8%,0.0%,19.5%,"75,392",x,Trump
Florida,17,R+10,Tom Rooney,R,115974,209348,13353,34.2%,61.8%,3.9%,27.6%,"93,374",x,Trump
Florida,18,R+3,Brian Mast,R,161918,201488,12512,43.1%,53.6%,3.3%,10.5%,"39,570",x,Trump
Florida,19,R+12,Francis Rooney,R,123812,239225,129,34.1%,65.9%,0.0%,31.8%,"115,413",x,Trump
Florida,20,D+30,Alcee Hastings,D,222914,54646,0,80.3%,19.7%,0.0%,-60.6%,"-168,268",x,Clinton
Florida,21,D+10,Lois Frankel,D,210606,118038,7217,62.7%,35.1%,2.1%,-27.6%,"-92,568",x,Clinton
Florida,22,D+5,Ted Deutch,D,199113,138737,0,58.9%,41.1%,0.0%,-17.9%,"-60,376",x,Clinton
Florida,23,D+9,Debbie Wasserman Schultz,D,183225,130818,9077,56.7%,40.5%,2.8%,-16.2%,"-52,407",x,Clinton
Florida,24,D+33,Frederica Wilson,D,0,0,0,100.0%,0.0%,0.0%,-100.0%,0,x,Clinton
Florida,25,R+10,Mario Diaz-Balart,R,95319,157921,0,37.6%,62.4%,0.0%,24.7%,"62,602",x,Trump
Florida,26,EVEN,Carlos Curbelo,R,115493,148547,16502,41.2%,53.0%,5.9%,11.8%,"33,054",x,Clinton
Florida,27,R+1,Ileana Ros-Lehtinen,R,129760,157917,0,45.1%,54.9%,0.0%,9.8%,"28,157",x,Clinton
Georgia,1,R+9,Buddy Carter,R,0,210243,0,0.0%,100.0%,0.0%,100.0%,"210,243",x,Trump
Georgia,2,D+6,Sanford Bishop,D,148543,94056,0,61.2%,38.8%,0.0%,-22.5%,"-54,487",x,Clinton
Georgia,3,R+19,Drew Ferguson,R,95969,207218,0,31.7%,68.3%,0.0%,36.7%,"111,249",x,Trump
Georgia,4,D+21,Hank Johnson,D,220146,70593,0,75.7%,24.3%,0.0%,-51.4%,"-149,553",x,Clinton
Georgia,5,D+32,John Lewis,D,253781,46768,0,84.4%,15.6%,0.0%,-68.9%,"-207,013",x,Clinton
Georgia,6,R+14,Tom Price,R,124917,201088,0,38.3%,61.7%,0.0%,23.4%,"76,171",x,Trump
Georgia,7,R+14,Rob Woodall,R,114220,174081,0,39.6%,60.4%,0.0%,20.8%,"59,861",x,Trump
Georgia,8,R+15,Austin Scott,R,83225,173983,0,32.4%,67.6%,0.0%,35.3%,"90,758",x,Trump
Georgia,9,R+30,Doug Collins,R,0,256535,0,0.0%,100.0%,0.0%,100.0%,"256,535",x,Trump
Georgia,10,R+14,Jody Hice,R,0,243725,0,0.0%,100.0%,0.0%,100.0%,"243,725",x,Trump
Georgia,11,R+19,Barry Loudermilk,R,105383,217935,0,32.6%,67.4%,0.0%,34.8%,"112,552",x,Trump
Georgia,12,R+9,Rick Allen,R,99420,159492,0,38.4%,61.6%,0.0%,23.2%,"60,072",x,Trump
Georgia,13,D+16,David Scott,D,252833,0,0,100.0%,0.0%,0.0%,-100.0%,"-252,833",x,Clinton
Georgia,14,R+26,Tom Graves,R,0,216743,0,0.0%,100.0%,0.0%,100.0%,"216,743",x,Trump
Hawaii,1,D+18,Colleen Hanabusa,D,145417,45958,10982,71.9%,22.7%,5.4%,-49.2%,"-99,459",x,Clinton
Hawaii,2,D+21,Tulsi Gabbard,D,170848,39668,0,81.2%,18.8%,0.0%,-62.3%,"-131,180",x,Clinton
Idaho,1,R+18,Raul Labrador,R,113052,242252,53,31.8%,68.2%,0.0%,36.4%,"129,200",x,Trump
Idaho,2,R+17,Mike Simpson,R,95940,205292,25005,29.4%,62.9%,7.7%,33.5%,"109,352",x,Trump
Illinois,1,D+28,Bobby Rush,D,234037,81817,8,74.1%,25.9%,0.0%,-48.2%,"-152,220",x,Clinton
Illinois,2,D+29,Robin Kelly,D,235051,59471,0,79.8%,20.2%,0.0%,-59.6%,"-175,580",x,Clinton
Illinois,3,D+5,Dan Lipinski,D,225320,0,91,100.0%,0.0%,0.0%,-100.0%,"-225,320",x,Clinton
Illinois,4,D+29,Luis Gutierrez,D,171297,0,0,100.0%,0.0%,0.0%,-100.0%,"-171,297",x,Clinton
Illinois,5,D+16,Mike Quigley,D,212842,86222,14660,67.8%,27.5%,4.7%,-40.4%,"-126,620",x,Clinton
Illinois,6,R+4,Peter Roskam,R,143591,208555,0,40.8%,59.2%,0.0%,18.4%,"64,964",x,Clinton
Illinois,7,D+36,Danny Davis,D,250584,46882,0,84.2%,15.8%,0.0%,-68.5%,"-203,702",x,Clinton
Illinois,8,D+8,Raja Krishnamoorthi,D,144954,103617,0,58.3%,41.7%,0.0%,-16.6%,"-41,337",x,Clinton
Illinois,9,D+15,Jan Schakowsky,D,217306,109550,92,66.5%,33.5%,0.0%,-33.0%,"-107,756",x,Clinton
Illinois,10,D+8,Brad Schneider,D,150435,135535,26,52.6%,47.4%,0.0%,-5.2%,"-14,900",x,Clinton
Illinois,11,D+8,Bill Foster,D,166578,108995,0,60.4%,39.6%,0.0%,-20.9%,"-57,583",x,Clinton
Illinois,12,EVEN,Mike Bost,R,124246,169976,18780,39.7%,54.3%,6.0%,14.6%,"45,730",x,Trump
Illinois,13,EVEN,Rodney Davis,R,126811,187583,0,40.3%,59.7%,0.0%,19.3%,"60,772",x,Trump
Illinois,14,R+5,Randy Hultgren,R,137589,200508,0,40.7%,59.3%,0.0%,18.6%,"62,919",x,Trump
Illinois,15,R+14,John Shimkus,R,0,274554,0,0.0%,100.0%,0.0%,100.0%,"274,554",x,Trump
Illinois,16,R+4,Adam Kinzinger,R,0,259722,131,0.0%,99.9%,0.1%,99.9%,"259,722",x,Trump
Illinois,17,D+7,Cheri Bustos,D,173125,113943,0,60.3%,39.7%,0.0%,-20.6%,"-59,182",x,Trump
Illinois,18,R+11,Darin LaHood,R,96770,250506,7,27.9%,72.1%,0.0%,44.3%,"153,736",x,Trump
Indiana,1,D+10,Peter Visclosky,D,207515,0,47068,81.5%,0.0%,18.5%,-81.5%,"-207,515",x,Clinton
Indiana,2,R+6,Jackie Walorski,R,102401,164355,10601,36.9%,59.3%,3.8%,22.3%,"61,954",x,Trump
Indiana,3,R+13,Jim Banks,R,66023,201396,19828,23.0%,70.1%,6.9%,47.1%,"135,373",x,Trump
