State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Alabama,AL,-,1,R+15,Bradley Byrne,R,0,"208,083","7,810",0.0%,96.4%,3.6%,96.4%,"208,083",x,Trump
Alabama,AL,-,2,R+17,Martha Roby,R,"112,089","134,886","29,609",40.5%,48.8%,10.7%,8.2%,"22,797",x,Trump
Alabama,AL,-,3,R+16,Mike Rogers,R,"94,549","192,164",391,32.9%,66.9%,0.1%,34.0%,"97,615",x,Trump
Alabama,AL,-,4,R+28,Robert Aderholt,R,0,"235,925","3,519",0.0%,98.5%,1.5%,98.5%,"235,925",x,Trump
Alabama,AL,-,5,R+17,Mo Brooks,R,"102,234","205,647",445,33.2%,66.7%,0.1%,33.5%,"103,413",x,Trump
Alabama,AL,-,6,R+28,Gary Palmer,R,"83,709","245,313",284,25.4%,74.5%,0.1%,49.1%,"161,604",x,Trump
Alabama,AL,-,7,D+20,Terri Sewell,D,"229,330",0,"3,698",98.4%,0.0%,1.6%,-98.4%,"-229,330",x,Clinton
Alaska,AK,-,AL,R+12,Don Young,R,"111,019","155,088","42,091",36.0%,50.3%,13.7%,14.3%,"44,069",x,Trump
Arizona,AZ,-,1,R+4,Tom O'Halleran,D,"142,219","121,745","16,746",50.7%,43.4%,6.0%,-7.3%,"-20,474",x,Trump
Arizona,AZ,-,2,R+3,Martha McSally,R,"135,873","179,806",0,43.0%,57.0%,0.0%,13.9%,"43,933",x,Clinton
Arizona,AZ,-,3,D+8,Raul Grijalva,D,"148,973",0,"20,162",88.1%,0.0%,11.9%,-88.1%,"-148,973",x,Clinton
Arizona,AZ,-,4,R+20,Paul Gosar,R,"81,296","203,487",0,28.5%,71.5%,0.0%,42.9%,"122,191",x,Trump
Arizona,AZ,-,5,R+17,Andy Biggs,R,"114,940","205,184",0,35.9%,64.1%,0.0%,28.2%,"90,244",x,Trump
Arizona,AZ,-,6,R+12,David Schweikert,R,"122,866","201,578",0,37.9%,62.1%,0.0%,24.3%,"78,712",x,Trump
Arizona,AZ,-,7,D+16,Ruben Gallego,D,"119,465","39,286",60,75.2%,24.7%,0.0%,-50.5%,"-80,179",x,Clinton
Arizona,AZ,-,8,R+15,Trent Franks,R,0,"204,942","94,029",0.0%,68.5%,31.5%,68.5%,"204,942",x,Trump
Arizona,AZ,-,9,R+1,Kyrsten Sinema,D,"169,055","108,350",102,60.9%,39.0%,0.0%,-21.9%,"-60,705",x,Clinton
Arkansas,AR,-,1,R+14,Rick Crawford,R,0,"183,866","57,181",0.0%,76.3%,23.7%,76.3%,"183,866",x,Trump
Arkansas,AR,-,2,R+8,French Hill,R,"111,347","176,472","14,645",36.8%,58.3%,4.8%,21.5%,"65,125",x,Trump
Arkansas,AR,-,3,R+19,Steve Womack,R,0,"217,192","63,715",0.0%,77.3%,22.7%,77.3%,"217,192",x,Trump
Arkansas,AR,-,4,R+15,Bruce Westerman,R,0,"182,885","61,274",0.0%,74.9%,25.1%,74.9%,"182,885",x,Trump
California,CA,-,1,R+10,Doug La Malfa,R,"128,588","185,448",0,40.9%,59.1%,0.0%,18.1%,"56,860",x,Trump
California,CA,-,2,D+20,Jared Huffman,D,"254,194","76,572",0,76.9%,23.1%,0.0%,-53.7%,"-177,622",x,Clinton
California,CA,-,3,D+3,John Garamendi,D,"152,513","104,453",0,59.4%,40.6%,0.0%,-18.7%,"-48,060",x,Clinton
California,CA,-,4,R+10,Tom McClintock,R,"130,845","220,133",0,37.3%,62.7%,0.0%,25.4%,"89,288",x,Trump
California,CA,-,5,D+19,Mike Thompson,D,"224,526","67,565",0,76.9%,23.1%,0.0%,-53.7%,"-156,961",x,Clinton
California,CA,-,6,D+18,Doris Matsui,D,"177,565","57,848",0,75.4%,24.6%,0.0%,-50.9%,"-119,717",x,Clinton
California,CA,-,7,EVEN,Ami Bera,D,"152,133","145,168",0,51.2%,48.8%,0.0%,-2.3%,"-6,965",x,Clinton
California,CA,-,8,R+10,Paul Cook,R,"83,035","136,972",0,37.7%,62.3%,0.0%,24.5%,"53,937",x,Trump
California,CA,-,9,D+6,Jerry McNerney,D,"133,163","98,992",0,57.4%,42.6%,0.0%,-14.7%,"-34,171",x,Clinton
California,CA,-,10,R+1,Jeff Denham,R,"116,470","124,671",0,48.3%,51.7%,0.0%,3.4%,"8,201",x,Clinton
California,CA,-,11,D+17,Mark DeSaulnier,D,"214,868","83,341",0,72.1%,27.9%,0.0%,-44.1%,"-131,527",x,Clinton
California,CA,-,12,D+34,Nancy Pelosi,D,"274,035",0,"64,810",80.9%,0.0%,19.1%,-80.9%,"-274,035",x,Clinton
California,CA,-,13,D+37,Barbara Lee,D,"293,117","29,754",0,90.8%,9.2%,0.0%,-81.6%,"-263,363",x,Clinton
California,CA,-,14,D+23,Jackie Speier,D,"231,630","54,817",0,80.9%,19.1%,0.0%,-61.7%,"-176,813",x,Clinton
California,CA,-,15,D+16,Eric Swalwell,D,"198,578","70,619",0,73.8%,26.2%,0.0%,-47.5%,"-127,959",x,Clinton
California,CA,-,16,D+7,Jim Costa,D,"97,473","70,483",0,58.0%,42.0%,0.0%,-16.1%,"-26,990",x,Clinton
California,CA,-,17,D+20,Ro Khanna,D,"233,192",0,0,100.0%,0.0%,0.0%,-100.0%,"-233,192",x,Clinton
California,CA,-,18,D+18,Anna Eshoo,D,"230,460","93,470",0,71.1%,28.9%,0.0%,-42.3%,"-136,990",x,Clinton
California,CA,-,19,D+19,Zoe Lofgren,D,"181,802","64,061",0,73.9%,26.1%,0.0%,-47.9%,"-117,741",x,Clinton
California,CA,-,20,D+21,Jimmy Panetta,D,"180,980","74,811",0,70.8%,29.2%,0.0%,-41.5%,"-106,169",x,Clinton
California,CA,-,21,D+2,David Valadao,R,"57,282","75,126",0,43.3%,56.7%,0.0%,13.5%,"17,844",x,Clinton
California,CA,-,22,R+10,Devin Nunes,R,"76,211","158,755",0,32.4%,67.6%,0.0%,35.1%,"82,544",x,Trump
California,CA,-,23,R+16,Kevin McCarthy,R,"74,468","167,116",0,30.8%,69.2%,0.0%,38.4%,"92,648",x,Trump
California,CA,-,24,D+4,Salud Carbajal,D,"166,034","144,780",0,53.4%,46.6%,0.0%,-6.8%,"-21,254",x,Clinton
California,CA,-,25,R+3,Steve Knight,R,"122,406","138,755",0,46.9%,53.1%,0.0%,6.3%,"16,349",x,Clinton
California,CA,-,26,D+4,Julia Brownley,D,"169,248","111,059",0,60.4%,39.6%,0.0%,-20.8%,"-58,189",x,Clinton
California,CA,-,27,D+11,Judy Chu,D,"168,977","81,655",0,67.4%,32.6%,0.0%,-34.8%,"-87,322",x,Clinton
California,CA,-,28,D+20,Adam Schiff,D,"210,883","59,526",0,78.0%,22.0%,0.0%,-56.0%,"-151,357",x,Clinton
California,CA,-,29,D+25,Tony Cardenas,D,"171,824",0,0,100.0%,0.0%,0.0%,-100.0%,"-171,824",x,Clinton
California,CA,-,30,D+14,Brad Sherman,D,"205,279","77,325",0,72.6%,27.4%,0.0%,-45.3%,"-127,954",x,Clinton
California,CA,-,31,D+5,Pete Aguilar,D,"121,070","94,866",0,56.1%,43.9%,0.0%,-12.1%,"-26,204",x,Clinton
California,CA,-,32,D+12,Grace Napolitano,D,"186,646",0,0,100.0%,0.0%,0.0%,-100.0%,"-186,646",x,Clinton
California,CA,-,33,D+11,Ted Lieu,D,"219,397","110,822",0,66.4%,33.6%,0.0%,-32.9%,"-108,575",x,Clinton
California,CA,-,34,D+30,Xavier Becerra,D,"159,156",0,0,100.0%,0.0%,0.0%,-100.0%,"-159,156",x,Clinton
California,CA,-,35,D+15,Norma Torres,D,"124,044","47,309",0,72.4%,27.6%,0.0%,-44.8%,"-76,735",x,Clinton
California,CA,-,36,R+1,Raul Ruiz,D,"144,348","88,269",0,62.1%,37.9%,0.0%,-24.1%,"-56,079",x,Clinton
California,CA,-,37,D+34,Karen Bass,D,"237,272",0,0,100.0%,0.0%,0.0%,-100.0%,"-237,272",x,Clinton
California,CA,-,38,D+12,Linda Sanchez,D,"163,590","68,524",0,70.5%,29.5%,0.0%,-41.0%,"-95,066",x,Clinton
California,CA,-,39,R+5,Ed Royce,R,"112,679","150,777",0,42.8%,57.2%,0.0%,14.5%,"38,098",x,Clinton
California,CA,-,40,D+29,Lucille Roybal-Allard,D,"106,554",0,"42,743",71.4%,0.0%,28.6%,-71.4%,"-106,554",x,Clinton
California,CA,-,41,D+9,Mark Takano,D,"128,164","69,159",0,65.0%,35.0%,0.0%,-29.9%,"-59,005",x,Clinton
California,CA,-,42,R+10,Ken Calvert,R,"104,689","149,547",0,41.2%,58.8%,0.0%,17.6%,"44,858",x,Trump
California,CA,-,43,D+26,Maxine Waters,D,"167,017","52,499",0,76.1%,23.9%,0.0%,-52.2%,"-114,518",x,Clinton
California,CA,-,44,D+32,Nanette Barragan,D,"178,413",0,0,100.0%,0.0%,0.0%,-100.0%,"-178,413",x,Clinton
