State,District,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,"Field
Margin",All_minus_Dem,All_minus_GOP,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Alabama,AL-1,R+15,Bradley Byrne,R,0,208083,7810,215893,6477,215893,-200273,0.0%,96.4%,3.6%,96.4%,"208,083",x,Trump
Alabama,AL-2,R+17,Martha Roby,R,112089,134886,29609,276584,8298,52406,6812,40.5%,48.8%,10.7%,8.2%,"22,797",x,Trump
Alabama,AL-3,R+16,Mike Rogers,R,94549,192164,391,287104,8613,98006,-97224,32.9%,66.9%,0.1%,34.0%,"97,615",x,Trump
Alabama,AL-4,R+28,Robert Aderholt,R,0,235925,3519,239444,7183,239444,-232406,0.0%,98.5%,1.5%,98.5%,"235,925",x,Trump
Alabama,AL-5,R+17,Mo Brooks,R,102234,205647,445,308326,9250,103858,-102968,33.2%,66.7%,0.1%,33.5%,"103,413",x,Trump
Alabama,AL-6,R+28,Gary Palmer,R,83709,245313,284,329306,9879,161888,-161320,25.4%,74.5%,0.1%,49.1%,"161,604",x,Trump
Alabama,AL-7,D+20,Terri Sewell,D,229330,0,3698,233028,6991,-225632,233028,98.4%,0.0%,1.6%,-98.4%,"-229,330",x,Clinton
Alaska,AK-AL,R+12,Don Young,R,111019,155088,42091,308198,9246,86160,-1978,36.0%,50.3%,13.7%,14.3%,"44,069",x,Trump
Arizona,AZ-1,R+4,Tom O'Halleran,D,142219,121745,16746,280710,8421,-3728,37220,50.7%,43.4%,6.0%,-7.3%,"-20,474",x,Trump
Arizona,AZ-2,R+3,Martha McSally,R,135873,179806,0,315679,9470,43933,-43933,43.0%,57.0%,0.0%,13.9%,"43,933",x,Clinton
Arizona,AZ-3,D+8,Raul Grijalva,D,148973,0,20162,169135,5074,-128811,169135,88.1%,0.0%,11.9%,-88.1%,"-148,973",x,Clinton
Arizona,AZ-4,R+20,Paul Gosar,R,81296,203487,0,284783,8543,122191,-122191,28.5%,71.5%,0.0%,42.9%,"122,191",x,Trump
Arizona,AZ-5,R+17,Andy Biggs,R,114940,205184,0,320124,9604,90244,-90244,35.9%,64.1%,0.0%,28.2%,"90,244",x,Trump
Arizona,AZ-6,R+12,David Schweikert,R,122866,201578,0,324444,9733,78712,-78712,37.9%,62.1%,0.0%,24.3%,"78,712",x,Trump
